slug,imdb_episode_count,imdb_avg_rating,imdb_weighted_avg_rating,imdb_total_votes,imdb_best_episode_rating,imdb_best_episode_title
21_jump_street,102,7.3922,7.4566,14459,8.4,Orpheus 3.3
24,192,8.3219,8.3418,290811,9.3,11:00 p.m.-12:00 a.m.
30_rock,139,7.9281,7.94,144743,9.0,Last Lunch
90_day_fiance,164,6.7791,6.72,5347,7.8,Too Late for Love
access_hollywood,4977,3.65,2.735,737,7.3,The Beatles' 'Love' by Cirque du Soleil
ally_mcbeal,112,7.3098,7.3362,25138,8.4,Boy Next Door
alone,143,7.6837,7.705,11248,8.9,Into the Dark
american_chopper,242,6.185,6.2003,1717,8.5,Welcome Back
american_dad,448,7.1673,7.2692,258094,8.8,Rapture's Delight
american_idol,732,5.6742,5.6553,26552,9.2,707 (Showstopper/Final Judgment)
american_ninja_warrior,261,7.3704,7.3592,4556,9.0,Las Vegas National Finals Night 4
american_pickers,418,7.4126,7.4434,8410,8.9,"Bonnie, Clyde and the King"
americas_most_wanted,776,8.7,8.7391,23,9.0,Episode #1.1
ancient_aliens,281,7.2584,7.1816,30971,9.0,The Alien Shape
angel,110,8.0827,8.1467,233964,9.5,Not Fade Away
anthony_bourdain__parts_unknown,107,7.7585,7.8779,13799,8.8,Lyon
antiques_road_trip,760,7.2311,7.2223,494,8.2,Episode #22.5
arrested_development,84,8.025,8.2032,195731,9.1,Development Arrested
bad_girls_club,267,6.2077,6.4518,2737,8.2,Throw-up Throw-down
battlestar_galactica,74,8.0378,8.0691,162413,9.2,Exodus: Part 2
below_deck,192,6.711,6.8359,9059,7.8,What Took You So Long?
beverly_hills_90210,292,6.8014,6.8734,54773,8.4,One Wedding and a Funeral
beyond_the_headlines,,,,,,
blind_date,49,8.5,8.325,16,9.2,Episode #7.27
bobs_burgers,357,7.7078,7.8066,267820,9.6,The Plight Before Christmas
bones,245,7.7616,7.8259,275476,9.3,Aliens in a Spaceship
boston_legal,101,8.0812,8.121,42635,9.2,Last Call
botched,150,7.4563,7.3994,2333,8.3,Face Misfor-CHIN
bride__prejudice,,,,,,
buffy_the_vampire_slayer,144,8.0021,8.1074,570027,9.7,Hush
cake_boss,208,7.21,7.2932,718,9.2,"Beer, Buttercups & Bumbling"
charmed,179,7.7866,7.8524,148289,9.2,Forever Charmed
chicago_hope,141,7.7773,7.7927,4832,8.7,Brain Salad Surgery
cold_case_files,60,7.1033,7.1897,3066,8.1,"Money, Moguls and Murder"
community,110,8.1773,8.3615,541412,9.8,Modern Warfare
counting_cars,196,7.6976,7.6839,2710,9.0,Colorful Customers
dance_moms,239,6.0187,6.1773,7307,8.6,The Reunion
deadliest_catch,379,7.7253,7.7505,10946,8.8,Man Down
desperate_housewives,180,7.9689,8.0344,134922,9.5,Bang
dharma__greg,119,7.4378,7.4683,16586,8.1,A Closet Full of Hell
dog_the_bounty_hunter,222,6.8585,6.9016,1983,8.5,The Tender Trap
doogie_howser_md,97,7.0856,7.1294,5167,8.1,To Live and Die in Brentwood
doomsday_preppers,53,6.6045,6.6556,583,8.2,You Said It Was Non-Lethal
dr_phil,4518,5.9382,5.9193,410,8.7,Former Priest Pete vs. Scorned Ex-Wife Pamela: Who Is to Blame for Their Son's Death?
dr_pimple_popper,94,7.744,7.7546,2148,9.0,This Is Zit
duck_dynasty,132,6.4447,6.6531,7065,7.7,Till Duck Do Us Part
er,331,7.8713,8.0098,175871,9.6,All in the Family
escape_to_the_chateau,53,8.366,8.518,1453,9.2,"Fishing, Foraging and an Elevator"
family_guy,506,7.0128,7.2003,771048,9.1,Road to the Multiverse
flip_this_house,76,9.0462,9.1083,120,9.8,The Stakeout
forensic_files,406,7.3202,7.3404,40894,8.5,The List Murders
forged_in_fire,268,7.9757,7.9172,3914,9.7,The Ikakalaka
friday_night_lights,76,8.1829,8.2209,49613,9.6,The Son
friends,235,8.2898,8.3366,1393881,9.7,The One Where Everybody Finds Out
fringe,100,8.222,8.241,250536,9.4,Peter
futurama,180,7.6159,7.8324,417075,9.5,Jurassic Bark
glee,121,7.9306,8.0427,177080,9.5,The Quarterback
gold_rush,398,7.3598,7.3868,13434,9.0,Winter's Reckoning
greys_anatomy,466,7.9053,8.0367,556828,9.7,Sanctuary
hells_kitchen,375,7.1924,7.1492,37987,8.3,Cooking for Your Life
hoarders,182,6.7213,6.7634,3699,8.2,Gordon & Gaye/Sir Patrick
house_md,176,8.3648,8.5066,715880,9.8,House's Head
how_i_met_your_mother,208,8.0038,8.0202,961714,9.5,How Your Mother Met Me
i_love_lucy,181,8.2519,8.2931,77245,9.5,Lucy Does a TV Commercial
impractical_jokers,21,4.3333,4.3385,26,6.4,Episode #1.2
in_living_color,126,7.1294,7.1391,6987,8.0,Introducing... Homey D. Clown
invincible,26,8.5958,8.9129,457899,9.8,I Thought You'd Never Shut Up
its_always_sunny_in_philadelphia,178,8.3508,8.457,653766,9.8,Charlie Work
judge_judy,7283,7.3342,7.3673,4064,8.9,Defective Pug Puppy?!/Salvaged Car Fraud?!
karamo_show,,,,,,
keeping_up_with_the_kardashians,292,4.8764,4.8386,22712,6.7,The Show Must Go On
key_and_peele,55,7.6491,7.673,15371,8.2,I'm Retired
king_of_the_hill,298,7.5082,7.5883,137153,9.0,Bobby Goes Nuts
kitchen_nightmares,116,7.0235,7.0876,20629,9.2,Amy's Baking Company
la_law,171,7.2164,7.3147,8755,8.2,The Venus Butterfly
life_below_zero,270,8.1839,7.9905,3039,9.8,The Rising Tides
live_pd,311,7.5756,7.582,1403,8.7,08.12.17
lost,121,8.4777,8.5336,941273,9.7,Through the Looking Glass: Part 2
love_island_usa,235,7.2868,7.0534,9752,9.3,Episode #6.22
maury,5055,6.8333,8.4878,189,9.2,Episode #4.1
modern_family,250,7.7372,7.8435,642417,9.5,Connection Lost
mountain_men,197,8.558,8.5889,2040,9.4,The Deep Freeze
my_600_lb_life,185,6.2249,6.3118,4881,7.7,Chris P's Journey
naked_and_afraid,215,7.1192,7.1811,7502,8.9,Runaway Bride
