slug,imdb_title_id
24_tv_show,tt0285331
21_jump_street,tt0092312
30_rock,tt0496424
90_day_fiance,tt3469050
access_hollywood,tt0167515
ally_mcbeal,tt0118254
alone,tt4803766
american_chopper,tt0364779
american_dad,tt0397306
american_idol,tt0319931
american_ninja_warrior,tt1587934
american_pickers,tt1596786
americas_most_wanted,tt0094415
ancient_aliens,tt1643266
angel,tt0162065
anthony_bourdain__parts_unknown,tt2845786
antiques_road_trip,tt4353976
arrested_development,tt0367279
bad_girls_club,tt0914829
battlestar_galactica,tt0407362
below_deck,tt2342499
beverly_hills_90210,tt0098749
beyond_the_headlines,tt28440938
blind_date,tt0218748
bobs_burgers,tt1561755
bones_tv_show,tt0460627
boston_legal,tt0402711
botched,tt3781836
bride__prejudice,tt9643014
buffy_the_vampire_slayer,tt0118276
cake_boss,tt1444382
charmed,tt0158552
chicago_hope,tt0108724
cold_case_files,tt6459472
community,tt1439629
counting_cars,tt2338096
dance_moms,tt1991410
deadliest_catch,tt0446809
desperate_housewives,tt0410975
dharma__greg,tt0118303
dog_the_bounty_hunter,tt0424627
doogie_howser_md,tt0096569
doomsday_preppers,tt2069270
dr_phil,tt0329824
dr_pimple_popper,tt6045142
duck_dynasty,tt2229907
er_emergency_room,tt0108757
escape_to_the_chateau,tt6249614
family_guy,tt0182576
flip_this_house,tt0476041
forensic_files,tt0247882
forged_in_fire,tt4680444
friday_night_lights,tt0758745
friends,tt0108778
fringe,tt1119644
futurama,tt0149460
fyi,tt36294919
game_of_thrones,tt0944947
glee,tt1327801
gold_rush,tt1800864
greys_anatomy,tt0413573
hells_kitchen,tt0437005
hoarders,tt1497563
house_md,tt0412142
how_i_met_your_mother,tt0460649
i_love_lucy,tt0043208
impractical_jokers,tt3845452
in_living_color,tt0098830
invincible,tt6741278
its_always_sunny_in_philadelphia,tt0472954
judge_judy,tt0115227
karamo_show,tt26444812
keeping_up_with_the_kardashians,tt1086761
key_and_peele,tt1981558
king_of_the_hill,tt0118375
kitchen_nightmares,tt0983514
la_law,tt0090466
life_below_zero,tt2964642
live_pd,tt6225166
lost_tv_show,tt0411008
love_island_usa,tt8819906
mad_men,tt0804503
married_at_first_sight,tt15254812
maury,tt0120986
miami_vice,tt0086759
modern_family,tt1442437
mountain_men,tt2202488
my_600_lb_life,tt2152112
naked_and_afraid,tt3007640
new_girl,tt1826940
nypd_blue,tt0106079
parks_and_recreation,tt1266020
pawn_stars,tt1492088
prison_break,tt0455275
queens_court,tt26703401
rachael_ray,tt0827947
rick_and_morty,tt2861424
sabrina_the_teenage_witch,tt0115341
sally_jesse_raphael,tt0088598
say_yes_to_the_dress,tt1166709
scrubs,tt0285403
seinfeld,tt0098904
sex_and_the_city,tt0159206
shahs_of_sunset,tt1997999
shark_tank,tt4731466
sister_wives,tt1721666
six_feet_under,tt0248654
south_park,tt0121955
southern_charm,tt2815522
storage_wars,tt1785123
street_outlaws,tt3027156
suits,tt1632701
survivor,tt0239195
the_amazing_race,tt0285335
the_bachelor,tt0313038
the_big_bang_theory,tt0898266
the_brady_bunch,tt0063878
the_curse_of_oak_island,tt3455408
the_drew_barrymore_show,tt10827252
the_fbi_files,tt0309152
the_first_48,tt0423652
the_gentle_art_of_swedish_death_cleaning,tt19401412
the_incredible_dr_pol,tt2136396
the_joan_rivers_show,tt0262164
the_jerry_springer_show,tt0120974
the_kelly_clarkson_show,tt9022950
the_office,tt0386676
the_proof_is_out_there,tt13951868
the_real_housewives_of_orange_county,tt0497079
the_secret_of_skinwalker_ranch,tt10589968
the_simpsons,tt0096697
the_sopranos,tt0141842
the_steve_wilkos_show,tt1084587
the_unexplained,tt0354342
the_walking_dead,tt1520211
the_west_wing,tt0200276
the_x_files,tt0106179
toddlers_and_tiaras,tt1364951
two_and_a_half_men,tt0369179
undercover_boss,tt1442553
unsolved_mysteries,tt0094574
vanderpump_rules,tt2343157
veep,tt1759761
vikings,tt2306299
